No.,Common name,Scientific name,Status,Last detection,Redetection probability,"Forest interior
(Primary forest)","Edge forest
(Secondary forest)",Coastal/Mangrove,Grassland,Parkland
25,Stork-billed Kingfisher,Halcyon capensis malaccensis,U / RB,2020,0.950197322,,,1,,1
100,Mangrove Blue Flycatcher,Cyornis rufigastra rufigastra ,E / NBV,1971,0.955299876,,,1,,
40,Lesser Coucal,Centropus bengalensis javanensis,C / RB,2020,0.962108273,,1,,1,
102,White-rumped Shama,Copsychus malabaricus mallopercna,E,1949,0.962310099,1,1,1,,
59,Emerald Dove,Chalcophaps indica indica,U / RB,2020,0.972465851,1,1,1,,
51,Collared Scops Owl,Otus lempiji lempiji,C / RB,2020,0.988111199,,1,,,1
93,Pied Fantail,Rhipidura javanica longicauda,C / RB,2020,0.988111199,,1,1,,1
13,Orange-backed Woodpecker,Reinwardtipicus validus xanthopygius,E,1949,0.990449733,1,,,,
3,Sunda Pygmy Woodpecker,Dendrocopos moluccensis moluccensis,C / RB,2020,0.999999,,1,1,,1
6,Banded Woodpecker,Picus miniaceus malaccensis,C / RB,2020,0.999999,1,1,1,,
16,Great Slaty Woodpecker,Mulleripicus pulverulentus,E / NBV,1949,0.999999,1,,1,,
18,Red-crowned Barbet,Megalaima rafflesii malayensis,U / RB,2020,0.999999,1,,,,
23,Dollarbird,Eurystomus orientalis orientalis,C / RB WV,2020,0.999999,,,1,,1
26,White-throated Kingfisher,Halcyon smyrnensis fusca,C / RB,2020,0.999999,,1,1,,1
27,Collared Kingfisher,Todiramphus chloris humii,C / RB,2020,0.999999,,1,1,,1
32,Blue-throated Bee-eater,Merops viridis viridis,C / RB,2020,0.999999,1,1,1,,1
38,Chestnut-bellied Malkoha,Phaenicophaeus sumatranus sumatranus,U / RB,2020,0.999999,1,1,1,,
43,Long-tailed Parakeet,Psittacula longicauda longicauda,C / RB,2020,0.999999,1,1,1,,
47,House Swift,Apus affinis subfurcatus,C / RB,2020,0.999999,1,1,1,,1
49,Grey-rumped Treeswift,Hemiprocne longipennis harterti,C / RB,2020,0.999999,1,1,1,,1
57,Large-tailed Nightjar,Caprimulgus macrurus bimaculatus,C / RB,2020,0.999999,,1,,,1
58,Spotted Dove,Streptopelia chinensis tigrina,C / RB,2020,0.999999,,,1,1,1
60,Peaceful Dove,Geopelia striata striata,C / RB,2020,0.999999,,,1,1,1
63,Pink-necked Green Pigeon,Treron vernans griseicapilla,C/ RB,2020,0.999999,,1,1,,1
67,White-breasted Waterhen,Amaurornis phoenicurus,C / RB; U / WV PM,2020,0.999999,,1,,1,1
69,Brahminy Kite,Haliastur indus intermedius,C / RB,2020,0.999999,,,1,,1
70,White-bellied Fish Eagle,Haliaeetus leucogaster,C / RB,2020,0.999999,,,1,,1
73,Black-thighed Falconet,Microhierax fringillarius,E,1990,0.999999,1,1,,,
74,Mangrove Pitta,Pitta megarhyncha,E / NBV,1981,0.999999,,,1,,
81,Asian Fairy Bluebird,Irena puella malayensis,C / RB,2020,0.999999,1,1,,,
86,Large-billed Crow,Corvus macrorhynchos macrorhynchos,C / RB,2020,0.999999,1,1,1,,
90,Pied Triller,Lalage nigra nigra,C / RB,2020,0.999999,,1,1,,1
95,Greater Racket-tailed Drongo,Dicrurus paradiseus platurus,C / RB,2020,0.999999,1,1,1,,
97,Common Iora,Aegithina tiphia singapurensis ,C / RB,2020,0.999999,,1,1,,1
101,Oriental Magpie Robin,Copsychus saularis musicus,U / RB,2020,0.999999,,1,1,,1
103,Asian Glossy Starling,Aplonis panayensis strigatus,C / RB,2020,0.999999,,1,1,,1
104,Hill Myna,Gracula religiosa javana,U / RB,2020,0.999999,1,1,1,,
105,Pacific Swallow,Hirundo tahitica abbotti,C / RB,2020,0.999999,,1,1,1,1
108,Yellow-vented Bulbul,Pycnonotus goiavier personatus,C / RB,2020,0.999999,,1,1,,1
109,Olive-winged Bulbul,Pycnonotus plumosus plumosus,C/ RB,2020,0.999999,1,1,1,,
117,Common Tailorbird,Orthotomus sutorius maculicollis,C / RB,2020,0.999999,,1,1,,1
118,Dark-necked Tailorbird,Orthotomus atrogularis atrogularis,C / RB,2020,0.999999,1,1,1,,
126,Striped Tit Babbler,Macronous gularis gularis,C / RB,2020,0.999999,1,1,,,
129,Orange-bellied Flowerpecker,Dicaeum trigonostigma trigonsostigmum,C / RB,2020,0.999999,,1,,,
131,Scarlet-backed Flowerpecker,Dicaeum cruentatum ignitum,C / RB,2020,0.999999,,1,1,,1
133,Brown-throated Sunbird,Anthreptes malacensis malacensis,C / RB,2020,0.999999,1,1,1,,1
135,Purple-throated Sunbird,Nectarinia sperata brasiliana,C / RB,2020,0.999999,1,1,,,
137,Olive-backed Sunbird,Nectarinia jugularis microleuca,C / RB,2020,0.999999,,1,1,,1
138,Crimson Sunbird,Aethopyga siparaja siparaja,C / RB,2020,0.999999,,1,1,,
139,Little Spiderhunter,Arachnothera longirostra longirostra,C / RB,2020,0.999999,1,1,,,
143,Eurasian Tree Sparrow,Passer montanus malaccensis,C / RB,2020,0.999999,,,,1,1
144,Paddyfield Pipit,Anthus rufulus sinensis ,C / RB,2020,0.999999,,,,1,1
146,Scaly-breasted Munia,Lonchura punctulata fretensis,C / RB,2020,0.999999,,1,1,1,1
149,Diard's Trogon,,,1921,,1,,,,
150,Raffles's Malkoha,,,1924,,1,1,,,
151,Asian Paradise-flycatcher,,,1950,,1,1,,,
152,Green Iora,,,1950,,1,1,,,
153,Maroon-breasted Philentoma,,,1880,,1,,,,
154,Black-capped Babbler,,,1924,,1,,,,
